Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.00      0.03     0.03  3670016     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned char> >, std::is_move_constructible<unsigned char>, std::is_move_assignable<unsigned char> >::value, void>::type std::swap<unsigned char>(unsigned char&, unsigned char&)
 30.00      0.06     0.03        3    10.00    11.67  TGAImage::load_rle_data(std::basic_ifstream<char, std::char_traits<char> >&)
 10.00      0.07     0.01 14680064     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
 10.00      0.08     0.01 11010048     0.00     0.00  std::remove_reference<unsigned char&>::type&& std::move<unsigned char&>(unsigned char&)
 10.00      0.09     0.01        3     3.33    18.33  TGAImage::flip_vertically()
 10.00      0.10     0.01        1    10.00    10.00  TGAImage::unload_rle_data(std::basic_ofstream<char, std::char_traits<char> >&) const
  0.00      0.10     0.00  5777064     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
  0.00      0.10     0.00   302099     0.00     0.00  unsigned char* std::vector<unsigned char, std::allocator<unsigned char> >::_M_data_ptr<unsigned char>(unsigned char*) const
  0.00      0.10     0.00   209752     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      0.10     0.00   209749     0.00     0.00  TGAImage::set(int, int, TGAColor const&)
  0.00      0.10     0.00   209721     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::data()
  0.00      0.10     0.00    92378     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::data() const
  0.00      0.10     0.00    62469     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.10     0.00    48395     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.10     0.00    46518     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.10     0.00    44898     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.10     0.00    36280     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.10     0.00    24172     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.10     0.00    22428     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.10     0.00    22428     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.10     0.00    22428     0.00     0.00  decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
  0.00      0.10     0.00    19344     0.00     0.00  std::is_constant_evaluated()
  0.00      0.10     0.00    17965     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.10     0.00    17809     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check(unsigned long, char const*) const
  0.00      0.10     0.00    17806     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_limit(unsigned long, unsigned long) const
  0.00      0.10     0.00    17803     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(unsigned long, unsigned long, char const*) const
  0.00      0.10     0.00    17803     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.10     0.00    15506     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.10     0.00    14952     0.00     0.00  Model::vert(int, int) const
  0.00      0.10     0.00    14952     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::operator[](unsigned long) const
  0.00      0.10     0.00    14952     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.10     0.00    14798     0.00     0.00  vec<3>* std::__addressof<vec<3> >(vec<3>&)
  0.00      0.10     0.00    12765     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.10     0.00    12765     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.10     0.00    12765     0.00     0.00  std::pointer_traits<char const*>::pointer_to(char const&)
  0.00      0.10     0.00    12765     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.10     0.00    12765     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.10     0.00    12755     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      0.10     0.00    12753     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      0.10     0.00    12752     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      0.10     0.00    12751     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
